Product name,Alternative name,Product type,Non-traditionals categories,Antibacterial class,Indications,Route of administration,R&D phase,Clinical trials,Developer,Pathogen category,Pathogen name,Pathogen activity,Active against priority pathogens?,Innovative?,Mycobacterium tuberculosis,Clostridioides difficile
Bacteriophage,NA,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,Gram positive and Gram negative,Inhalation,Phase III,NCT04682964,Tashkent Pediatric Medical Institute,Priority pathogens,Streptococcus pneumoniae,Other priority pathogens,Yes,NA,NA,NA
Bacteriophage,NA,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,Gram positive and Gram negative,Inhalation,Phase III,NCT04682964,Tashkent Pediatric Medical Institute,Priority pathogens,Staphylococcus aureus,Other priority pathogens,Yes,NA,NA,NA
Bacteriophage,NA,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,Gram positive and Gram negative,Inhalation,Phase III,NCT04682964,Tashkent Pediatric Medical Institute,Priority pathogens,Pseudomonas aeruginosa,Critical priority pathogens,Yes,NA,NA,NA
Bacteriophage,NA,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,Gram positive and Gram negative,Inhalation,Phase III,NCT04682964,Tashkent Pediatric Medical Institute,Priority pathogens,Other priority pathogens,Other priority pathogens,Yes,NA,NA,NA
Bacteriophage,NA,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,Gram positive and Gram negative,Inhalation,Phase III,NCT04682964,Tashkent Pediatric Medical Institute,Priority pathogens,Neisseria gonnorhoeae,Other priority pathogens,NA,NA,NA,NA
Bacteriophage,NA,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,Gram positive and Gram negative,Inhalation,Phase III,NCT04682964,Tashkent Pediatric Medical Institute,Priority pathogens,Helicobacter pylori,Other priority pathogens,NA,NA,NA,NA
Bacteriophage,NA,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,Gram positive and Gram negative,Inhalation,Phase III,NCT04682964,Tashkent Pediatric Medical Institute,Priority pathogens,Gram-positive priority pathogens,Other priority pathogens,Yes,NA,NA,NA
Bacteriophage,NA,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,Gram positive and Gram negative,Inhalation,Phase III,NCT04682964,Tashkent Pediatric Medical Institute,Priority pathogens,Enterococcus faecium,Other priority pathogens,Yes,NA,NA,NA
Bacteriophage,NA,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,Gram positive and Gram negative,Inhalation,Phase III,NCT04682964,Tashkent Pediatric Medical Institute,Priority pathogens,Enterobacterales,Critical priority pathogens,Yes,NA,NA,NA
Bacteriophage,NA,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,Gram positive and Gram negative,Inhalation,Phase III,NCT04682964,Tashkent Pediatric Medical Institute,Priority pathogens,Critical priority pathogens,Critical priority pathogens,Yes,NA,NA,NA
Bacteriophage,NA,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,Gram positive and Gram negative,Inhalation,Phase III,NCT04682964,Tashkent Pediatric Medical Institute,Priority pathogens,Campylobacter spp.,Other priority pathogens,NA,NA,NA,NA
Bacteriophage,NA,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,Gram positive and Gram negative,Inhalation,Phase III,NCT04682964,Tashkent Pediatric Medical Institute,Priority pathogens,All critical priority pathogens,Critical priority pathogens,NA,NA,NA,NA
Bacteriophage,NA,Non-traditional,Bacteriophages and phage-derived enzymes,Bacteriophage,Gram positive and Gram negative,Inhalation,Phase III,NCT04682964,Tashkent Pediatric Medical Institute,Priority pathogens,Acinetobacter baumannii,Critical priority pathogens,NA,NA,NA,NA
9MW1411,NA,Non-traditional,Antibodies,Monoclonal antibody,S. aureus,IV,Phase I,NCT04784312,Mabwell Bioscience,Priority pathogens,Streptococcus pneumoniae,Other priority pathogens,NA,NA,NA,NA
9MW1411,NA,Non-traditional,Antibodies,Monoclonal antibody,S. aureus,IV,Phase I,NCT04784312,Mabwell Bioscience,Priority pathogens,Staphylococcus aureus,Other priority pathogens,Yes,NA,NA,NA
9MW1411,NA,Non-traditional,Antibodies,Monoclonal antibody,S. aureus,IV,Phase I,NCT04784312,Mabwell Bioscience,Priority pathogens,Pseudomonas aeruginosa,Critical priority pathogens,NA,NA,NA,NA
9MW1411,NA,Non-traditional,Antibodies,Monoclonal antibody,S. aureus,IV,Phase I,NCT04784312,Mabwell Bioscience,Priority pathogens,Other priority pathogens,Other priority pathogens,Yes,NA,NA,NA
9MW1411,NA,Non-traditional,Antibodies,Monoclonal antibody,S. aureus,IV,Phase I,NCT04784312,Mabwell Bioscience,Priority pathogens,Neisseria gonnorhoeae,Other priority pathogens,NA,NA,NA,NA
9MW1411,NA,Non-traditional,Antibodies,Monoclonal antibody,S. aureus,IV,Phase I,NCT04784312,Mabwell Bioscience,Priority pathogens,Helicobacter pylori,Other priority pathogens,NA,NA,NA,NA
9MW1411,NA,Non-traditional,Antibodies,Monoclonal antibody,S. aureus,IV,Phase I,NCT04784312,Mabwell Bioscience,Priority pathogens,Gram-positive priority pathogens,Other priority pathogens,Yes,NA,NA,NA
9MW1411,NA,Non-traditional,Antibodies,Monoclonal antibody,S. aureus,IV,Phase I,NCT04784312,Mabwell Bioscience,Priority pathogens,Enterococcus faecium,Other priority pathogens,NA,NA,NA,NA
