Data.source	Date.of.update	Alternative.name	Product.type	Antibacterial.class	Indications	Route.of.administration	R.D.phase	Clinical.trials	Developer	Pathogen.category	Pathogen.name	Pathogen.activity	Active.against.priority.pathogens.	Innovative.	NCE.	Mycobacterium.tuberculosis	Clostridioides.difficile	Combined.Categories
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Streptococcus pneumoniae	Other priority pathogens	Yes	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Staphylococcus aureus	Other priority pathogens	Yes	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Pseudomonas aeruginosa	Critical priority pathogens	Yes	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Other priority pathogens	Other priority pathogens	Yes	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Neisseria gonnorhoeae	Other priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Helicobacter pylori	Other priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Gram-positive priority pathogens	Other priority pathogens	Yes	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Enterococcus faecium	Other priority pathogens	Yes	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Enterobacterales	Critical priority pathogens	Yes	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Critical priority pathogens	Critical priority pathogens	Yes	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Campylobacter spp.	Other priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
WHO AMR pipeline analysis	01 Nov-21	None	Non-traditional	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	All critical priority pathogens	Critical priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
