	Data.source	Date.of.update	Alternative.name	Product.type	Antibacterial.class	Indications	Route.of.administration	R.D.phase	Clinical.trials	Developer	Pathogen.category	Pathogen.name	Pathogen.activity	Active.against.priority.pathogens.	Innovative.	NCE.	Mycobacterium.tuberculosis	Clostridioides.difficile	Combined.Categories
0	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Streptococcus pneumoniae	Other priority pathogens	Yes	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
1	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Staphylococcus aureus	Other priority pathogens	Yes	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
2	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Pseudomonas aeruginosa	Critical priority pathogens	Yes	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
3	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Other priority pathogens	Other priority pathogens	Yes	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
4	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Neisseria gonnorhoeae	Other priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
5	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Helicobacter pylori	Other priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
6	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Gram-positive priority pathogens	Other priority pathogens	Yes	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
7	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Enterococcus faecium	Other priority pathogens	Yes	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
8	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Enterobacterales	Critical priority pathogens	Yes	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
9	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Critical priority pathogens	Critical priority pathogens	Yes	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
10	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Campylobacter spp.	Other priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
11	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	All critical priority pathogens	Critical priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
12	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Acinetobacter baumannii	Critical priority pathogens	No	No	Yes	No	Unknown	Bacteriophages and phage-derived enzymes
13	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Streptococcus pneumoniae	Other priority pathogens	No	No	Yes	No	Unknown	Antibodies
14	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Staphylococcus aureus	Other priority pathogens	Yes	No	Yes	No	Unknown	Antibodies
15	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Pseudomonas aeruginosa	Critical priority pathogens	No	No	Yes	No	Unknown	Antibodies
16	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Other priority pathogens	Other priority pathogens	Yes	No	Yes	No	Unknown	Antibodies
17	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Neisseria gonnorhoeae	Other priority pathogens	No	No	Yes	No	Unknown	Antibodies
18	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Helicobacter pylori	Other priority pathogens	No	No	Yes	No	Unknown	Antibodies
19	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Gram-positive priority pathogens	Other priority pathogens	Yes	No	Yes	No	Unknown	Antibodies
20	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Enterococcus faecium	Other priority pathogens	No	No	Yes	No	Unknown	Antibodies
21	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Enterobacterales	Critical priority pathogens	No	No	Yes	No	Unknown	Antibodies
22	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Critical priority pathogens	Critical priority pathogens	No	No	Yes	No	Unknown	Antibodies
23	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Campylobacter spp.	Other priority pathogens	No	No	Yes	No	Unknown	Antibodies
24	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	All critical priority pathogens	Critical priority pathogens	No	No	Yes	No	Unknown	Antibodies
25	WHO AMR pipeline analysis	2021-11-01		Non-traditional	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Acinetobacter baumannii	Critical priority pathogens	No	No	Yes	No	Unknown	Antibodies
26	WHO AMR pipeline analysis	2021-11-01	Reltecimod	Non-traditional	Antagonist of superantigen exotoxins and CD28 T-cell	S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis	IV	Preregistration	NCT02469857, NCT03403751	Atox Bio	Priority pathogens	Streptococcus pneumoniae	Other priority pathogens	No	No	Yes	No	Unknown	Immunomodulating agents
27	WHO AMR pipeline analysis	2021-11-01	Reltecimod	Non-traditional	Antagonist of superantigen exotoxins and CD28 T-cell	S. aureus necrotizing soft tissue infection, acute kidney injury, peritonitis	IV	Preregistration	NCT02469857, NCT03403751	Atox Bio	Priority pathogens	Staphylococcus aureus	Other priority pathogens	Yes	No	Yes	No	Unknown	Immunomodulating agents
